grantee,privilege,admin_option
DBA,DROP ROLLBACK SEGMENT,NO
DBA,CREATE TABLE,NO
DBA,BACKUP ANY TABLE,NO
DBA,COMMENT ANY TABLE,NO
DBA,ALTER ANY CLUSTER,NO
DBA,ALTER SESSION,NO
DBA,CREATE TABLESPACE,NO
DBA,ALTER TABLESPACE,NO
DBA,ALTER USER,NO
DBA,ALTER ROLLBACK SEGMENT,NO
DBA,CREATE ANY CLUSTER,NO
DBA,CREATE ANY SYNONYM,NO
DBA,SELECT ANY SEQUENCE,NO
DBA,DROP PROFILE,NO
DBA,ALTER ANY MATERIALIZED VIEW,NO
DBA,UNDER ANY VIEW,NO
DBA,CREATE ANY CONTEXT,NO
DBA,CREATE ANY OUTLINE,NO
DBA,ON COMMIT REFRESH,NO
DBA,SELECT ANY TRANSACTION,NO
DBA,DROP ANY MINING MODEL,NO
DBA,SELECT ANY MINING MODEL,NO
DBA,DROP ANY CUBE DIMENSION,NO
DBA,SELECT ANY CUBE,NO
DBA,CREATE CUBE BUILD PROCESS,NO
DBA,CREATE SQL TRANSLATION PROFILE,NO
DBA,CREATE ANY SQL TRANSLATION PROFILE,NO
DBA,CREATE LOCKDOWN PROFILE,NO
DBA,DROP LOCKDOWN PROFILE,NO
DBA,CREATE CREDENTIAL,NO
DBA,CREATE ANY CREDENTIAL,NO
DBA,LOGMINING,NO
DBA,ALTER ANY MEASURE FOLDER,NO
DBA,CREATE ATTRIBUTE DIMENSION,NO
DBA,CREATE ANY ATTRIBUTE DIMENSION,NO
DBA,ALTER ANY ATTRIBUTE DIMENSION,NO
DBA,CREATE ANY HIERARCHY,NO
DBA,ALTER SYSTEM,NO
DBA,RESTRICTED SESSION,NO
DBA,DROP ANY TABLE,NO
DBA,LOCK ANY TABLE,NO
DBA,UPDATE ANY TABLE,NO
DBA,DROP ANY VIEW,NO
DBA,FORCE TRANSACTION,NO
DBA,CREATE PROCEDURE,NO
DBA,CREATE TRIGGER,NO
DBA,ALTER ANY TRIGGER,NO
DBA,ALTER PROFILE,NO
DBA,CREATE ANY MATERIALIZED VIEW,NO
DBA,CREATE LIBRARY,NO
DBA,DROP ANY CONTEXT,NO
DBA,DEBUG CONNECT ANY,NO
DBA,CREATE EVALUATION CONTEXT,NO
DBA,ALTER ANY EVALUATION CONTEXT,NO
DBA,DROP ANY EVALUATION CONTEXT,NO
DBA,CREATE RULE SET,NO
DBA,ALTER ANY RULE SET,NO
DBA,CREATE ANY JOB,NO
DBA,ADMINISTER ANY SQL TUNING SET,NO
DBSFWUSER,CREATE SESSION,NO
DBSNMP,UNLIMITED TABLESPACE,NO
DBSNMP,CREATE TABLE,NO
DBSNMP,SELECT ANY DICTIONARY,NO
DBSNMP,CREATE PROCEDURE,NO
DBSNMP,INHERIT ANY PRIVILEGES,NO
DIP,CREATE SESSION,NO
DVF,CREATE PROCEDURE,NO
DVSYS,DROP ANY CONTEXT,NO
DVSYS,CREATE ANY CONTEXT,NO
DVSYS,UNLIMITED TABLESPACE,NO
DVSYS,CREATE ROLE,NO
DV_ACCTMGR,ALTER USER,NO
DV_ACCTMGR,DROP PROFILE,NO
DV_ACCTMGR,CREATE PROFILE,NO
DV_ACCTMGR,CREATE USER,NO
DV_ACCTMGR,CREATE SESSION,YES
DV_ACCTMGR,DROP USER,NO
DV_ACCTMGR,ALTER PROFILE,NO
DV_REALM_OWNER,CREATE ANY MATERIALIZED VIEW,NO
DV_REALM_OWNER,CREATE ANY OPERATOR,NO
DV_REALM_OWNER,CREATE ANY SEQUENCE,NO
DV_REALM_OWNER,ALTER ANY DIMENSION,NO
DV_REALM_OWNER,ALTER ANY PROCEDURE,NO
DV_REALM_OWNER,DROP ANY PROCEDURE,NO
DV_REALM_OWNER,DROP ANY TYPE,NO
DV_REALM_OWNER,CREATE ANY INDEXTYPE,NO
DV_REALM_OWNER,CREATE ANY TYPE,NO
DV_REALM_OWNER,ALTER ANY INDEXTYPE,NO
DV_REALM_OWNER,DROP ANY INDEXTYPE,NO
DV_REALM_OWNER,DROP ANY OUTLINE,NO
DV_REALM_OWNER,DROP ANY SEQUENCE,NO
DV_REALM_OWNER,SELECT ANY TABLE,NO
DV_REALM_OWNER,UPDATE ANY TABLE,NO
DV_REALM_OWNER,EXECUTE ANY TYPE,NO
DV_REALM_OWNER,DROP ANY VIEW,NO
DV_REALM_OWNER,CREATE ANY VIEW,NO
DV_REALM_OWNER,DROP ANY MATERIALIZED VIEW,NO
DV_REALM_OWNER,DROP ANY OPERATOR,NO
DV_REALM_OWNER,DROP ANY SYNONYM,NO
DV_REALM_OWNER,DROP ANY TABLE,NO
DV_REALM_OWNER,DROP ANY TRIGGER,NO
DV_REALM_OWNER,EXECUTE ANY OPERATOR,NO
DV_REALM_OWNER,COMMENT ANY TABLE,NO
DV_REALM_OWNER,CREATE ANY DIMENSION,NO
DV_REALM_OWNER,CREATE ANY TABLE,NO
DV_REALM_OWNER,ALTER ANY OPERATOR,NO
DV_REALM_OWNER,ALTER ANY OUTLINE,NO
DV_REALM_OWNER,DELETE ANY TABLE,NO
DV_REALM_OWNER,INSERT ANY TABLE,NO
DV_REALM_OWNER,CREATE ANY SYNONYM,NO
DV_REALM_OWNER,ALTER ANY CLUSTER,NO
DV_REALM_OWNER,ALTER ANY INDEX,NO
DV_REALM_OWNER,ALTER ANY MATERIALIZED VIEW,NO
DV_REALM_OWNER,ALTER ANY TABLE,NO
DV_REALM_OWNER,DROP ANY CLUSTER,NO
DV_REALM_OWNER,DROP ANY DIMENSION,NO
DV_REALM_OWNER,DROP ANY INDEX,NO
DV_REALM_OWNER,CREATE ANY CLUSTER,NO
DV_REALM_OWNER,CREATE ANY CONTEXT,NO
DV_REALM_OWNER,CREATE ANY OUTLINE,NO
DV_REALM_OWNER,CREATE ANY TRIGGER,NO
DV_REALM_OWNER,ALTER ANY TYPE,NO
DV_REALM_OWNER,SELECT ANY SEQUENCE,NO
DV_REALM_OWNER,CREATE ANY INDEX,NO
DV_REALM_OWNER,CREATE ANY PROCEDURE,NO
DV_REALM_OWNER,ALTER ANY SEQUENCE,NO
DV_REALM_OWNER,ALTER ANY TRIGGER,NO
DV_REALM_OWNER,EXECUTE ANY INDEXTYPE,NO
DV_REALM_OWNER,EXECUTE ANY PROCEDURE,NO
DV_REALM_RESOURCE,CREATE SYNONYM,NO
DV_REALM_RESOURCE,CREATE TRIGGER,NO
DV_REALM_RESOURCE,CREATE CLUSTER,NO
DV_REALM_RESOURCE,CREATE OPERATOR,NO
DV_REALM_RESOURCE,CREATE INDEXTYPE,NO
DV_REALM_RESOURCE,CREATE TYPE,NO
DV_REALM_RESOURCE,CREATE SEQUENCE,NO
DV_REALM_RESOURCE,CREATE TABLE,NO
DV_REALM_RESOURCE,CREATE VIEW,NO
DV_REALM_RESOURCE,CREATE PROCEDURE,NO
EM_EXPRESS_ALL,CREATE JOB,NO
EM_EXPRESS_ALL,CREATE TABLESPACE,NO
EM_EXPRESS_ALL,DROP PROFILE,NO
EM_EXPRESS_ALL,ADMINISTER SQL MANAGEMENT OBJECT,NO
EM_EXPRESS_ALL,CREATE ROLE,NO
EM_EXPRESS_ALL,DROP USER,NO
EM_EXPRESS_ALL,DROP TABLESPACE,NO
EM_EXPRESS_ALL,GRANT ANY PRIVILEGE,NO
EM_EXPRESS_ALL,ALTER ANY ROLE,NO
EM_EXPRESS_ALL,ALTER PROFILE,NO
EM_EXPRESS_ALL,GRANT ANY OBJECT PRIVILEGE,NO
EM_EXPRESS_ALL,GRANT ANY ROLE,NO
EM_EXPRESS_ALL,CREATE USER,NO
EM_EXPRESS_ALL,SET CONTAINER,NO
EM_EXPRESS_ALL,ADMINISTER RESOURCE MANAGER,NO
EM_EXPRESS_ALL,CREATE PROFILE,NO
EM_EXPRESS_ALL,ADVISOR,NO
EM_EXPRESS_ALL,ALTER SYSTEM,NO
EM_EXPRESS_ALL,DROP ANY ROLE,NO
EM_EXPRESS_ALL,ALTER USER,NO
EM_EXPRESS_ALL,ADMINISTER SQL TUNING SET,NO
EM_EXPRESS_ALL,ADMINISTER ANY SQL TUNING SET,NO
EM_EXPRESS_ALL,ALTER TABLESPACE,NO
EM_EXPRESS_BASIC,CREATE SESSION,NO
EM_EXPRESS_BASIC,EM EXPRESS CONNECT,NO
EXP_FULL_DATABASE,SELECT ANY SEQUENCE,NO
EXP_FULL_DATABASE,SELECT ANY TABLE,NO
EXP_FULL_DATABASE,EXECUTE ANY PROCEDURE,NO
EXP_FULL_DATABASE,ADMINISTER SQL MANAGEMENT OBJECT,NO
EXP_FULL_DATABASE,CREATE SESSION,NO
EXP_FULL_DATABASE,CREATE TABLE,NO
EXP_FULL_DATABASE,ANALYZE ANY,NO
EXP_FULL_DATABASE,ADMINISTER RESOURCE MANAGER,NO
EXP_FULL_DATABASE,RESUMABLE,NO
EXP_FULL_DATABASE,EXEMPT REDACTION POLICY,NO
EXP_FULL_DATABASE,BACKUP ANY TABLE,NO
