grantee,privilege
DATAPUMP_IMP_FULL_DATABASE,EXECUTE ANY OPERATOR
IMP_FULL_DATABASE,GRANT ANY ROLE
RECOVERY_CATALOG_OWNER,CREATE CLUSTER
RECOVERY_CATALOG_OWNER_VPD,DROP ANY SYNONYM
RECOVERY_CATALOG_OWNER_VPD,ADMINISTER DATABASE TRIGGER
EM_EXPRESS_ALL,ADVISOR
EM_EXPRESS_ALL,ALTER SYSTEM
EM_EXPRESS_ALL,DROP ANY ROLE
EM_EXPRESS_ALL,ALTER USER
AUDSYS,SET CONTAINER
SCHEDULER_ADMIN,CREATE CREDENTIAL
